platform,source_post_id,source_post_url,post_title,post_author,post_time,post_content_summary,post_like_count,post_collect_count,comment_user,comment_time,comment_text,crawl_time
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,阿梅,2025-07-29 23:32:58 山西,这个说的挺对的，汪so low真的挺不是人的。你卖歌又不是没收钱，原唱唱你歌也给你版权费了，你原创的名头也吸到了剧的、歌的热度。甚至自己找其他发行公司在剧大爆期间发行翻唱一版蹭剧，第二年不知道搞了什么手段硬赛到《花千骨原声带》里。蹭剧蹭了多少年了，现在还要抢孩子妈原唱头衔，逼所有人张冠李戴。而且歌当年被爆出抄袭，孩子妈那时候就被网暴了一回，你那时候怎么不出来说你自己是原唱啊。所有功劳是你的，挨骂是孩子妈。https://www.douban.com/doubanapp/dispatch?uri=%2Fgroup%2Ftopic%2F332129985%3F_spm_id%3DMjc3Nzc1ODcx&_i=538024466d06b16,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,阿卡波糖,2025-07-29 23:33:29 浙江,很没劲，很莫名其妙，俩人纯戏多,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:33:32 江西,好可怕的观点啊 那你觉得淘汰原唱是谁倒带原唱是谁战争原唱是谁,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,福灵剂,2025-07-29 23:33:35 浙江,这里他有啥典故啊,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,缤纷橡皮,2025-07-29 23:33:38 福建,不是剧火歌才火的吗 为什么都说是zbc唱火的,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,Tyche阿茶,2025-07-29 23:33:57 天津,Ok楼主下场了，我闭麦,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:34:19 江西,根本不是双原唱为什么要认 造黄谣到全平台unless瓣还体面真搞笑,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:34:25 江苏,因为他的行为跟杜鹃习性一样，所以赐名乐坛杜鹃,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,你说你呀,2025-07-29 23:34:49 浙江,杜鹃粉也就欺负zbc粉丝少，太嚣张了,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:35:09 江苏,组里有开投票张70%🆚汪30%的比例,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,Sagittarius_A*,2025-07-29 23:35:21 安徽,看完也没想明白大家争这玩意干什么？ 汪那边，他好好的写歌卖授权躺着收钱不香吗，争这title给自己惹麻烦，以后别人找他买歌还得提防着，这不是降低潜在收入吗；张那边，既然当初是买的授权，那人家收回去也没什么可嘴的，本来关系应该还行吧，起码是能谈合作的，时间到了续个费还能继续唱下去，虽然也不缺这一首歌，但撕起来争了啥呢。 而且到目前为止也没见到合同，当初授权到底授了什么，声明不是说“查阅合同确认”，啥条款啊？放出来看看啊！,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:35:39 江西,说汪杜鹃不好的就折叠 说孩子妈不体面的就不折叠 杜鹃卖了多少🪝给平台交保护费啊,2026-05-29 15:46:48
