comment_id,platform,song_version,source_id,source_url,publish_time,user_name,text_raw,text_clean,like_count,reply_count,stance,frame,emotion,event_stage,is_valid,crawl_time,keyword_hit
qq_52,qqmusic,张碧晨版,,,2026-05-21,🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥,汪汪队请不要到处咬咬 | 张杜鹃请不要到处偷偷,汪汪队请不要到处咬咬 | 张杜鹃请不要到处偷偷,4,,support_wang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_53,qqmusic,张碧晨版,,,2026-05-21,收敛.,张杜鹃请不要到处偷偷,张杜鹃请不要到处偷偷,0,,support_wang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_54,qqmusic,张碧晨版,,,2026-05-21,poppiya（见过汪苏泷版,小姐姐我看你主页唯一关注是汪苏泷呀💓 | 其他歌曲都收回来，又不是第一次这么干了,小姐姐我看你主页唯一关注是汪苏泷呀 | 其他歌曲都收回来，又不是第一次这么干了,0,,unclear,copyright_authorization,unclear,cooldown,1,2026-05-29 17:59:37,
qq_55,qqmusic,张碧晨版,,,2026-05-21,poppiya（见过汪苏泷版,大姐姐你懂什么叫收吗🍼 | 其他歌曲都收回来，又不是第一次这么干了,大姐姐你懂什么叫收吗 | 其他歌曲都收回来，又不是第一次这么干了,0,,unclear,copyright_authorization,unclear,cooldown,1,2026-05-29 17:59:37,
qq_56,qqmusic,张碧晨版,,,2026-05-21,幻想,喜欢听和喜欢又不太一样了 | 除了他的粉丝，谁会喜欢男生版？,喜欢听和喜欢又不太一样了 | 除了他的粉丝，谁会喜欢男生版？,0,,unclear,fan_conflict,unclear,cooldown,1,2026-05-29 17:59:37,
qq_57,qqmusic,张碧晨版,,,2026-05-21,深冬,汪苏泷方说某网红，收回所有版权，人张碧晨当时可是一句话没说，版权就被收回去了，是，他是有版权，但是张碧晨干啥了，啥也没干吧，就把人家的版权收回来了，自己想想，要是你，你会咋干 | 偷换概念,汪苏泷方说某网红，收回所有版权，人张碧晨当时可是一句话没说，版权就被收回去了，是，他是有版权，但是张碧晨干啥了，啥也没干吧，就把人家的版权收回来了，自己想想，要是你，你会咋干 | 偷换概念,1,,support_wang,copyright_authorization,unclear,cooldown,1,2026-05-29 17:59:37,
qq_58,qqmusic,张碧晨版,,,2026-05-21,深冬,除了他的粉丝，谁会喜欢男生版？,除了他的粉丝，谁会喜欢男生版？,2,,unclear,fan_conflict,unclear,cooldown,1,2026-05-29 17:59:37,
qq_59,qqmusic,张碧晨版,,,2026-05-21,深冬,其他歌曲都收回来，又不是第一次这么干了 | 唱火了汪苏泷要是想收早就收回来了  别搞笑了行不行  跪下来跟汪苏泷说谢谢了吗,其他歌曲都收回来，又不是第一次这么干了 | 唱火了汪苏泷要是想收早就收回来了 别搞笑了行不行 跪下来跟汪苏泷说谢谢了吗,0,,support_zhang,copyright_authorization,mocking,cooldown,1,2026-05-29 17:59:37,
qq_60,qqmusic,张碧晨版,,,2026-05-21,深冬,张碧晨从来没有抢他的版权和否定他的制作，眼睛不好麻烦捐了 | 唱一首歌，歌就成她的了？,张碧晨从来没有抢他的版权和否定他的制作，眼睛不好麻烦捐了 | 唱一首歌，歌就成她的了？,0,,unclear,copyright_authorization,unclear,cooldown,1,2026-05-29 17:59:37,
qq_61,qqmusic,张碧晨版,,,2026-05-20,浅淡,盖哥老了,盖哥老了,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
